"Backend Name","Backend Rate","V6 Function Name"
HEDISPMNI2020WCCPA3to11,Default,"measure.HEDISPMNI2020WCCPA3to11"
HEDISMY2021ABXclind,alp,"measure.HEDIS_MY2021_ABXclind"
AMPMY2020CISROTA,alp,measure.AMPMY2020CISROTA
HEDISMY2020IETBT,age[18-200],measure.HEDIS_MY2020_IET
"IPPAdolescentPreventiveCareDepression",Default,"measure.IPPAdolescentPreventiveCareDepression"
"HEDISHPC2020APMBloodGlucoseAndCholesterol1to17",Default,"measure.HEDISHPC2020APMBloodGlucoseAndCholesterol1to17"
HEDISMY2021WCCC,alp.cln.nec,measure.HEDIS_MY2021_WCC
MH2018CDCA1cPoorControl,Default,"measure.MH2018CDCA1cPoorControl"
"AZMedicaidMedUtilizationAD13to18",Default,"measure.AZMedicaidMedUtilizationAD13to18"
HEDISMY2020ABXabsorb,alp.clm.nec,measure.HEDIS_MY2020_ABX
HedisAdultBMIAssessment,Default,"measure.HedisAdultBMIAssessment"
HEDISHPCMY2020DRRA,Default,"measure.HEDISHPCMY2020DRRA"
HEDISMY2020FSPCHC,alp.clm,measure.HEDIS_MY2020_FSP
CMSCORE2021SFM1,alp.cln.enc,"measure.CMS_CORE_2021_SFM"
"HEDISHPCNE2019DiabetesStatinAdherence",Default,"measure.HEDISHPCNE2019DiabetesStatinAdherence"
NgacoAllCondRead,Default,measure.NgacoAllCondRead
HEDISMY2021ASFA,alp.nec,"measure.HEDIS_MY2021_ASFE"
"HEDISPM2019ChlamydiaScreening21to24",Default,"measure.HEDISPM2019ChlamydiaScreening21to24"
"HEDISPMNI2018OlderAdultsMedReview",Default,"measure.HEDISPMNI2018OlderAdultsMedReview"
HEDISMY2020ABX,alp.clm,measure.HEDIS_MY2020_ABX
"HEDISHPC2019MedManageAsthma75Percent12to18",Default,"measure.HEDISHPC2019MedManageAsthma75Percent12to18"
"HEDISHPCNEMY2020WCV18to21",Default,"measure.HEDISHPCNEMY2020WCV18to21"
"HEDISPM2020TelehealthAdjFUM30Day",Default,"measure.HEDISPM2020TelehealthAdjFUM30Day"
HEDISMY2020FSPLAM,alp.nec,measure.HEDIS_MY2020_FSP
"CMSACO2021NIPREV10Intervention",Default,"measure.CMSACO2021NIPREV10Intervention"
"HEDISPMNI2019MedManageAsthma50Percent5to64",Default,"measure.HEDISPMNI2019MedManageAsthma50Percent5to64"
"HEDISHP2019ChildhoodImmHIB",Default,"measure.HEDISHP2019ChildhoodImmHIB"
HEDISMY2020FUM30,age[6-17],measure.HEDIS_MY2020_FUM
HEDISMY2020FUM7,alp.cln.enc.age[6-17],measure.HEDIS_MY2020_FUM
HEDISHP2019PrenatalCare,Default,"measure.HEDISHP2019PrenatalCare"
HEDISMY2021CISCMB8,alp,measure.HEDIS_MY2021_CIS
HEDISMY2020AMM3,Default,measure.HEDIS_MY2020_AMM
"HEDISHPCNE2020TelehealthAdjDMSPeriod1",Default,"measure.HEDISHPCNE2020TelehealthAdjDMSPeriod1"
HEDISMY2021CRE3,alp.clm.nec,measure.HEDIS_MY2021_CRE
HEDISMY2020WCCC,alp.cln.nec.age[12-17],measure.HEDIS_MY2020_WCC
HEDISMY2021IMATD,Default,measure.HEDIS_MY2021_IMA
HEDISPMNIMY2020PCE1,Default,"measure.HEDISPMNIMY2020PCE1"
HEDISMY2021IMAHPV,alp.cln,measure.HEDIS_MY2021_IMA
AMPMY2020CDC7,alp.cln,measure.AMPMY2020CDC7
HEDISPM2018MedRec,Default,"measure.HEDISPM2018MedRec"
HEDISMY2021UOPA,alp.nec,measure.HEDIS_MY2021_UOP
HEDISMY2021CWP,alp.cln.enc.age[18-64],measure.HEDIS_MY2021_CWP
HEDISMY2021FUM7,alp.cln.enc.age[18-64],measure.HEDIS_MY2021_FUM
"HEDISPMHP2020PsychosocialCare1to5",Default,"measure.HEDISPMHP2020PsychosocialCare1to5"
P4PDiabetesLDLScreening,Default,"measure.P4PDiabetesLDLScreening"
"HEDISHP2020TelehealthAdjFUM7Day",Default,"measure.HEDISHP2020TelehealthAdjFUM7Day"
HEDISPMNIMY2020IMATD,Default,"measure.HEDISPMNIMY2020IMATD"
HEDISMY2021CHL,alp.cln.nec.age[21-24],measure.HEDIS_MY2021_CHL
"HEDISHPMY2020HDOAvoidance",Default,"measure.HEDISHPMY2020HDOAvoidance"
HEDISMY2020FSPHYA,alp,measure.HEDIS_MY2020_FSP
"HEDISPMHP2019AODEngagementOpioid",Default,"measure.HEDISPMHP2019AODEngagementOpioid"
HEDISMY2021PPC2,alp.nec,measure.HEDIS_MY2021_PPC
"HEDISPMHPMY2020IETBAL13to17",Default,"measure.HEDISPMHPMY2020IETBAL13to17"
HEDISMY2020AAB,alp.cln.inv.nec,measure.HEDIS_MY2020_AAB
CMSCORE2021OUD5,alp,"measure.CMS_CORE_2021_OUD"
HEDISMY2020AAB,alp.nec.age[0-17],measure.HEDIS_MY2020_AAB
"HEDISHPC2019ConcurrentAntipsych",Default,"measure.HEDISHPC2019ConcurrentAntipsych"
"Hedis2017MedMonitorDiuretics",Default,"measure.Hedis2017MedMonitorDiuretics"
HEDISMY2021COA4,alp.clm.nec,measure.HEDIS_MY2021_COA
HEDISHPCNE2020ADV7to10,Default,"measure.HEDISHPCNE2020ADV7to10"
HEDISMY2021ABXother,alp.nec,"measure.HEDIS_MY2021_ABXother"
HEDISMY2020IETAOT,alp.clm.age[13-64],measure.HEDIS_MY2020_IET
HEDISMY2020IMAMEN,alp.clm.nec,measure.HEDIS_MY2020_IMA
AMPMY2020CDC1,alp.clm,measure.AMPMY2020CDC1
"HEDISPM2019ChildhoodImmC3",Default,"measure.HEDISPM2019ChildhoodImmC3"
"HEDISHPCNE2018AODInitiationOther",Default,"measure.HEDISHPCNE2018AODInitiationOther"
HEDISMY2020IADOUTOT,Default,measure.HEDIS_MY2020_IAD
HEDISMY2021FSPLAM,alp,measure.HEDIS_MY2021_FSP
HEDISHPNEMY2020CISOPV,Default,"measure.HEDISHPNEMY2020CISOPV"
HEDISMY2021AHUM,alp.clm.nec,measure.HEDIS_MY2021_AHU
HEDISMY2020URI,alp.clm.nec.age[65-200],measure.HEDIS_MY2020_URI
"HEDISPMHP2018CopdBronchodilators",Default,"measure.HEDISPMHP2018CopdBronchodilators"
OHA2021AdolImmIMACMB1,alp.nec,measure.OHA_2021_AdolImm
HEDISMY2020CISVZV,alp.cln,measure.HEDIS_MY2020_CIS
HEDISMY2020PPC2,alp.cln.age[0-64],measure.HEDIS_MY2020_PPC
"HEDISCERTMY2020AAB65plusInverse",Default,"measure.HEDISCERTMY2020AAB65plusInverse"
"HEDISHP2020TelehealthAdjFUM30Day65plus",Default,"measure.HEDISHP2020TelehealthAdjFUM30Day65plus"
"HEDISPM2019ChildhoodImmHIB",Default,"measure.HEDISPM2019ChildhoodImmHIB"
"HEDISHP2019ChildhoodImmPCV",Default,"measure.HEDISHP2019ChildhoodImmPCV"
HEDISMY2021IETBAL,age[13-17],measure.HEDIS_MY2021_IET
HEDISMY2020AAB,"alp.cln.enc.inv.age[0-17]",measure.HEDIS_MY2020_AAB
HEDISMY2020ASFA,alp,"measure.HEDIS_MY2020_ASFE"
HEDISPMMY2020IMATD,Default,"measure.HEDISPMMY2020IMATD"
HEDISMY2021FUM30,alp.cln.nec.age[6-17],measure.HEDIS_MY2021_FUM
HEDISMY2021FSPHYA,ine,measure.HEDIS_MY2021_FSP
HEDISMY2020FSPHYA,alp.cln.enc,measure.HEDIS_MY2020_FSP
CMS117v8ChildhoodImm,Default,"measure.CMS117v8ChildhoodImm"
HEDISMY2021AISINFL,age[65-200],"measure.HEDIS_MY2021_AISE"
"AZMedicaidMedUtilizationPsych0to5",Default,"measure.AZMedicaidMedUtilizationPsych0to5"
HEDISMY2021AMR,alp.clm.age[12-18],measure.HEDIS_MY2021_AMR
HEDISMY2021AISPNEU,alp.age[65-200],"measure.HEDIS_MY2021_AISE"
HEDISMY2020ABXabsorb,Default,measure.HEDIS_MY2020_ABX
HEDISMY2020URIA,alp.clm,measure.HEDIS_MY2020_URI
HEDISMY2021FUM7,alp.clm.age[65-200],measure.HEDIS_MY2021_FUM
HEDISMY2021DDE2,alp.cln.nec,measure.HEDIS_MY2021_DDE
HEDISMY2020FUM7,alp.clm,measure.HEDIS_MY2020_FUM
HEDISMY2021FUM7,alp.age[65-200],measure.HEDIS_MY2021_FUM
HEDISMY2021FSPBARI,alp,measure.HEDIS_MY2021_FSP
HEDISMY2020AISTD,alp.clm.nec,measure.HEDIS_MY2020_AIS
HEDISMY2020DMS,alp.clm.nec,"measure.HEDIS_MY2020_DMSE"
HEDISMY2020FUM7,alp.cln.age[65-200],measure.HEDIS_MY2020_FUM
HEDISHPCNEMY2020IMAHPV,Default,"measure.HEDISHPCNEMY2020IMAHPV"
OHA2022ChildImmCISOPV,alp.cln.nec,"measure.OHA_2022_ChildhoodImm"
"HEDISPM2020TelehealthAdjCBP",Default,"measure.HEDISPM2020TelehealthAdjCBP"
HEDISMY2021OMW,ine,measure.HEDIS_MY2021_OMW
"CMS74v10CariesPreventionTotalClinical",Default,"measure.CMS74v10CariesPreventionTotalClinical"
HEDISMY2020CHL,alp.cln.enc.age[21-24],measure.HEDIS_MY2020_CHL
HEDISMY2021IETAAL,alp.clm.nec.age[13-17],measure.HEDIS_MY2021_IET
HEDISMY2020ABXclind,alp.cln.nec,measure.HEDIS_MY2020_ABX
HEDISMY2020AAB,"alp.clm.inv.nec.age[18-64]",measure.HEDIS_MY2020_AAB
"CCO2020AODEngagementAlcohol13plus",Default,"measure.CCO2020AODEngagementAlcohol13plus"
HEDISMY2020FMC,alp.clm.age[18-64],measure.HEDIS_MY2020_FMC
HEDISMY2020CISHEPA,alp.clm.nec,measure.HEDIS_MY2020_CIS
"HEDISPMNI2019ChildPrimaryCare12Mto24M",Default,"measure.HEDISPMNI2019ChildPrimaryCare12Mto24M"
"HEDISHP2020ChildhoodImmPCV",Default,"measure.HEDISHP2020ChildhoodImmPCV"
HEDISMY2020IETAAL,alp.cln.nec.age[13-17],measure.HEDIS_MY2020_IET
HEDISHPCNEMY2020IMACMB2,Default,"measure.HEDISHPCNEMY2020IMACMB2"
HEDISMY2021ABXceph1,alp.cln.nec,"measure.HEDIS_MY2021_ABXceph1"
HEDISMY2020AHUT,alp.clm.nec,measure.HEDIS_MY2020_AHU
Ngaco2018AllCondRead,Default,"measure.Ngaco2018AllCondRead"
HEDISHPC2019CDCEyeExam,Default,"measure.HEDISHPC2019CDCEyeExam"
HEDISHPMY2020ADV,Default,measure.HEDISHPMY2020ADV
"CMS138v9TobaccoScreenIntervention",Default,"measure.CMS138v9TobaccoScreenIntervention"
"CMS74v9CariesPreventionTotalClinical",Default,"measure.CMS74v9CariesPreventionTotalClinical"
HEDISMY2020APP,alp.clm,measure.HEDIS_MY2020_APP
HEDISMY2021PRSINFLA,ine,"measure.HEDIS_MY2021_PRSE"
HEDISMY2020ABXpen,alp.clm,measure.HEDIS_MY2020_ABX
HEDISHPCNEMY2020AMBER,Default,"measure.HEDISHPCNEMY2020AMBER"
HEDISMY2020ABXmacro,alp.cln,measure.HEDIS_MY2020_ABX
HEDISMY2021CRE2,alp.nec,measure.HEDIS_MY2021_CRE
"HEDISPM2018AdultAccessToHealthServices45to64",Default,"measure.HEDISPM2018AdultAccessToHealthServices45to64"
HEDISHPC2020MPTED,Default,"measure.HEDISHPC2020MPTED"
"HEDISHPCNE2018MedManageAsthma50Percent5to64",Default,"measure.HEDISHPCNE2018MedManageAsthma50Percent5to64"
HEDISHP2020CWP,Default,measure.HEDISHP2020CWP
HEDISMY2021MPTANY,alp,measure.HEDIS_MY2021_MPT
"HEDISHPC2020APMCholesterol12to17",Default,"measure.HEDISHPC2020APMCholesterol12to17"
HEDISHPCMY2020DSFB18to64,Default,"measure.HEDISHPCMY2020DSFB18to64"
"HEDISHP2020TelehealthAdjDSFFollowUp45to64",Default,"measure.HEDISHP2020TelehealthAdjDSFFollowUp45to64"
HEDISMY2021PCE2,alp.clm.nec,measure.HEDIS_MY2021_PCE
HEDISMY2020ABXlinco,alp.cln.nec,measure.HEDIS_MY2020_ABX
HEDISPMHPMY2020AISTD,Default,"measure.HEDISPMHPMY2020AISTD"
"HEDIS2016DiabetesMonitoringforSchizo",Default,"measure.HEDIS2016DiabetesMonitoringforSchizo"
HEDISMY2021PRSINFL,alp.clm,"measure.HEDIS_MY2021_PRSE"
"HEDISPM2018NutritionCounselChildAdol",Default,"measure.HEDISPM2018NutritionCounselChildAdol"
HEDISHPCNE2020PDSScreen,Default,"measure.HEDISHPCNE2020PDSScreen"
"HEDIS2016ColorectalCancerScreening",Default,"measure.HEDIS2016ColorectalCancerScreening"
HEDISMY2020POD,alp.clm.nec,measure.HEDIS_MY2020_POD
HEDISHPMY2020FUM30,Default,"measure.HEDISHPMY2020FUM30"
HEDISMY2020LBP,alp.nec,measure.HEDIS_MY2020_LBP
HEDISHPCMY2020CHL,Default,"measure.HEDISHPCMY2020CHL"
HEDISMY2020IETBOT,alp.cln.nec.age[13-64],measure.HEDIS_MY2020_IET
"CMS117v9ChildhoodImmunization",Default,"measure.CMS117v9ChildhoodImmunization"
HEDISMY2021APM3,alp.clm.nec,measure.HEDIS_MY2021_APM
"HEDISHPCNE2019WeightAssessChildAdol",Default,"measure.HEDISHPCNE2019WeightAssessChildAdol"
PCMHOccupationRecorded,Default,"measure.PCMHOccupationRecorded"
HEDISMY2021DMS3,alp.clm.nec,"measure.HEDIS_MY2021_DMSE"
HEDISHPCNEMY2020CISINFL,Default,"measure.HEDISHPCNEMY2020CISINFL"
"HEDISHP2020DiabetesMonitoringforSchizo",Default,"measure.HEDISHP2020DiabetesMonitoringforSchizo"
HEDISMY2021IADEDAL,alp.nec,measure.HEDIS_MY2021_IAD
HEDISMY2021HDO,alp,measure.HEDIS_MY2021_HDO
HEDISPMHP2020ADV15to18,Default,"measure.HEDISPMHP2020ADV15to18"
"HEDISHPCNE2020TelehealthAdjSAA",Default,"measure.HEDISHPCNE2020TelehealthAdjSAA"
HEDISMY2021FSPHYV,alp.clm.nec,measure.HEDIS_MY2021_FSP
HEDISMY2020PND1B,alp,measure.HEDIS_MY2020_PND
HEDISMY2020PRSTDB,alp.clm,"measure.HEDIS_MY2020_PRSE"
"HEDISPMNI2019CervicalCancerScreen",Default,"measure.HEDISPMNI2019CervicalCancerScreen"
"HEDISHPNE2020PsychosocialCare6to11",Default,"measure.HEDISHPNE2020PsychosocialCare6to11"
HEDISCERTMY2020CISHEPB,Default,"measure.HEDISCERTMY2020CISHEPB"
"HEDISPMHP2019CopdSpirometry",Default,"measure.HEDISPMHP2019CopdSpirometry"
HEDISCERTMY2020IETAOP,Default,"measure.HEDISCERTMY2020IETAOP"
HEDISMY2020FUM30,alp.nec.age[18-64],measure.HEDIS_MY2020_FUM
HEDISPMHP2020W15OneVisit,Default,"measure.HEDISPMHP2020W15OneVisit"
HEDISMY2020AAP,alp.age[65-200],measure.HEDIS_MY2020_AAP
"HEDISHPCNE2018OsteoporosisManagement",Default,"measure.HEDISHPCNE2018OsteoporosisManagement"
MH2022OUD,alp.clm.nec,measure.MH_2022_OUD
HEDISMY2020AMBOV,Default,measure.HEDIS_MY2020_AMB
HEDISMY2021CISCMB9,alp.clm.nec,measure.HEDIS_MY2021_CIS
AMPMY2020PDC3,Default,measure.AMPMY2020PDC3
HEDISPMNI2020FUA7day,Default,"measure.HEDISPMNI2020FUA7day"
HEDISMY2021FUA7,alp.nec.age[13-17],measure.HEDIS_MY2021_FUA
AMPMY2020CDC4,alp,measure.AMPMY2020CDC4
"AZMedicaidChildhoodImmHepA",Default,"measure.AZMedicaidChildhoodImmHepA"
HEDISHPCMY2020WCCA12to17,Default,"measure.HEDISHPCMY2020WCCA12to17"
"HEDISHPCNE2018DiabetesStatinAdherence",Default,"measure.HEDISHPCNE2018DiabetesStatinAdherence"
"HEDISPMHP2020DepressionResponseAllAges",Default,"measure.HEDISPMHP2020DepressionResponseAllAges"
HEDISMY2021IETAAL,age[18-200],measure.HEDIS_MY2021_IET
HEDISMY2021W30B,Default,measure.HEDIS_MY2021_W30
HEDISMY2020ADD2,alp.clm.nec,measure.HEDIS_MY2020_ADD
HEDISHPNEMY2020AISTD,Default,"measure.HEDISHPNEMY2020AISTD"
HEDISMY2020CRE1,alp.cln.enc,measure.HEDIS_MY2020_CRE
"HEDISPMHP2020ChildhoodImmMMR",Default,"measure.HEDISPMHP2020ChildhoodImmMMR"
"HEDISPMHP2019PharyngitisTesting",Default,"measure.HEDISPMHP2019PharyngitisTesting"
HEDISMY2020URI,"alp.cln.inv.nec.age[18-64]",measure.HEDIS_MY2020_URI
HEDISMY2021IETAOT,alp.nec,measure.HEDIS_MY2021_IET
AMPMY2020SPCB,alp.cln.enc,measure.AMPMY2020SPCB
HEDISMY2020TRCE,alp.cln.nec,measure.HEDIS_MY2020_TRC
HEDISMY2021CWP,alp.cln.enc.age[65-200],measure.HEDIS_MY2021_CWP
HEDISHPC2020AAP20to44,Default,"measure.HEDISHPC2020AAP20to44"
"HEDISPMNI2020TeleHealthAdjCvdStatinReceived",Default,"measure.HEDISPMNI2020TeleHealthAdjCvdStatinReceived"
HEDISMY2021PCR,alp,measure.HEDIS_MY2021_PCR
OHA2022WCV,alp.cln.nec.age[18-21],measure.OHA_2022_WCV
HEDISMY2021AMR,age[19-50],measure.HEDIS_MY2021_AMR
"HEDISPMNI2020TelehealthAdjSAA",Default,"measure.HEDISPMNI2020TelehealthAdjSAA"
HEDISMY2020KED,alp.cln.enc,measure.HEDIS_MY2020_KED
HEDISMY2020URIB,alp.clm.nec,measure.HEDIS_MY2020_URI
HEDISMY2020AISTD,alp.age[65-200],measure.HEDIS_MY2020_AIS
HEDISMY2020WCCA,alp.nec,measure.HEDIS_MY2020_WCC
"HEDISPMMY2020IETBOP13to17",Default,"measure.HEDISPMMY2020IETBOP13to17"
"HEDISPMNIMY2020IETAT18plus",Default,"measure.HEDISPMNIMY2020IETAT18plus"
"HEDISHPCNE2020MentalIllnessEdFollowUp7",Default,"measure.HEDISHPCNE2020MentalIllnessEdFollowUp7"
"HEDISHPC2019MentalHealthUtilInpatient",Default,"measure.HEDISHPC2019MentalHealthUtilInpatient"
HEDISMY2021DAE2,ine,measure.HEDIS_MY2021_DAE
"HEDISPMNI2020TelehealthAdjPNDFollowUp",Default,"measure.HEDISPMNI2020TelehealthAdjPNDFollowUp"
"HEDISPM2020AntidepressantMedManagementCont",Default,"measure.HEDISPM2020AntidepressantMedManagementCont"
HEDISPM2020NCSInverted,Default,"measure.HEDISPM2020NCSInverted"
"HEDISHP2020PCECorticosteroid",Default,"measure.HEDISHP2020PCECorticosteroid"
Cigna2019Total90DayFills,Default,"measure.Cigna2019Total90DayFills"
HEDISMY2020IETAT,alp.cln.age[18-200],measure.HEDIS_MY2020_IET
HEDISMY2020CDC1,alp.clm.nec,measure.HEDIS_MY2020_CDC
HEDISMY2020IETAOP,alp.age[18-200],measure.HEDIS_MY2020_IET
HEDISMY2020CWP,alp.age[18-64],measure.HEDIS_MY2020_CWP
HEDISMY2021CWP,alp.cln.nec.age[65-200],measure.HEDIS_MY2021_CWP
"HEDISPM2018MentalIllnessFollowUp30Day",Default,"measure.HEDISPM2018MentalIllnessFollowUp30Day"
HEDISMY2021COL,alp.cln.nec,measure.HEDIS_MY2021_COL
"HEDISHPCNE2019OlderAdultsPainAssess",Default,"measure.HEDISHPCNE2019OlderAdultsPainAssess"
"IPPDiabetesStatinPrescription",Default,"measure.IPPDiabetesStatinPrescription"
OHA2021WCV,alp.cln.enc,measure.OHA_2021_WCV
HEDISMY2021CRE4,alp.clm.age[65-200],measure.HEDIS_MY2021_CRE
HEDISMY2021IADOUTT,alp.cln.enc,measure.HEDIS_MY2021_IAD
HEDISMY2021IADEDT,alp.cln,measure.HEDIS_MY2021_IAD
"HEDISHPC2020AAPCommercial45to64",Default,"measure.HEDISHPC2020AAPCommercial45to64"
HEDISMY2021FSPMAST,alp.cln.enc,measure.HEDIS_MY2021_FSP
HEDISMY2020AAP,alp.nec.age[65-200],measure.HEDIS_MY2020_AAP
HEDISMY2021IETAT,alp.cln.age[13-17],measure.HEDIS_MY2021_IET
"HEDISPMNI2018CopdCorticosteroids",Default,"measure.HEDISPMNI2018CopdCorticosteroids"
HEDISMY2021COUB,alp.clm.nec.age[18-64],measure.HEDIS_MY2021_COU
"UDS2019IvdAspirinClinical",Default,"measure.UDS2019IvdAspirinClinical"
HEDISMY2020FUH7,alp.age[18-64],measure.HEDIS_MY2020_FUH
HEDISMY2021AISZOS,alp.cln.age[65-200],"measure.HEDIS_MY2021_AISE"
HEDISMY2021WCCA,alp.clm.age[3-11],measure.HEDIS_MY2021_WCC
"HEDISPMHP2020DepressionScreeningAllAges",Default,"measure.HEDISPMHP2020DepressionScreeningAllAges"
HEDISMY2020FUM7,alp.cln.nec.age[6-64],measure.HEDIS_MY2020_FUM
"AZMedicaidMedUtilizationPsych0to18",Default,"measure.AZMedicaidMedUtilizationPsych0to18"
HEDISMY2021IADANYT,alp.clm.nec,measure.HEDIS_MY2021_IAD
HEDISHPC2020FUI7dayTotal,Default,"measure.HEDISHPC2020FUI7dayTotal"
"HEDISPMHP2020TelehealthAdjBCS",Default,"measure.HEDISPMHP2020TelehealthAdjBCS"
"CMS144v5BetaBlockerForLvsd",Default,"measure.CMS144v5BetaBlockerForLvsd"
HEDISMY2020DSFB,alp.cln.nec,"measure.HEDIS_MY2020_DSFE"
HEDISMY2020IETAOT,alp.nec.age[18-200],measure.HEDIS_MY2020_IET
HEDISMY2020DSFB,alp.nec,"measure.HEDIS_MY2020_DSFE"
HEDISHPNE2020ADV15to18,Default,"measure.HEDISHPNE2020ADV15to18"
HEDISMY2020FUM30,alp.age[6-17],measure.HEDIS_MY2020_FUM
HEDISMY2020ABXconcern,alp.cln.nec,measure.HEDIS_MY2020_ABX
"HEDISPMHP2020MentalIllnessEdFollowUp7",Default,"measure.HEDISPMHP2020MentalIllnessEdFollowUp7"
HEDISPMHP2020DDEDementia,Default,"measure.HEDISPMHP2020DDEDementia"
CMSACO2020NIPREV5,Default,"measure.CMSACO2020NIPREV5"
"HEDISHPCNE2019HypertensionBPControl",Default,"measure.HEDISHPCNE2019HypertensionBPControl"
"AZMedicaid2019OpioidUseHighDosage18plus",Default,"measure.AZMedicaid2019OpioidUseHighDosage18plus"
OHA2021AdolImmIMAHPV,alp.clm,measure.OHA_2021_AdolImm
"HEDISHPCNE2019MentalIllnessFollowUp30Day",Default,"measure.HEDISHPCNE2019MentalIllnessFollowUp30Day"
HEDISMY2020CWP,alp.clm.nec,measure.HEDIS_MY2020_CWP
"Hedis2017CervicalCancerScreenNoInteraction",Default,"measure.Hedis2017CervicalCancerScreenNoInteraction"
HEDISMY2021SPCA,Default,measure.HEDIS_MY2021_SPC
HEDISHPNEMY2020ADD2,Default,"measure.HEDISHPNEMY2020ADD2"
HEDISMY2021PCE1,alp.nec,measure.HEDIS_MY2021_PCE
HEDISMY2020URI,alp.inv.age[18-64],measure.HEDIS_MY2020_URI
"HEDISPMNI2019MetabolicMonAntipsychotics6to11",Default,"measure.HEDISPMNI2019MetabolicMonAntipsychotics6to11"
HEDISMY2021HPCT,alp.cln.enc,measure.HEDIS_MY2021_HPC
HEDISMY2020BILHDMCOMP,alp.inv.nec,measure.HEDIS_MY2020_CDC
AMPMY2020CISHEPA,alp.cln.nec,measure.AMPMY2020CISHEPA
AMPMY2020AMR,alp.nec.age[5-11],measure.AMPMY2020AMR
"HEDISHPCNE2019AntibioticAvoidBronchitis",Default,"measure.HEDISHPCNE2019AntibioticAvoidBronchitis"
"HEDIS2017AntibioticAvoidBronchitis",Default,"measure.HEDIS2017AntibioticAvoidBronchitis"
"Hedis2017OsteoporosisManagementNoInteraction",Default,"measure.Hedis2017OsteoporosisManagementNoInteraction"
"HEDISPMNI2018ChlamydiaScreening16to20",Default,"measure.HEDISPMNI2018ChlamydiaScreening16to20"
HEDISMY2020CDC1,alp.cln.enc,measure.HEDIS_MY2020_CDC
"HEDISHP2019MedMonitorAceArb",Default,"measure.HEDISHP2019MedMonitorAceArb"
HEDIS2016WellChild3to6,Default,"measure.HEDIS2016WellChild3to6"
HEDISMY2021ASFB,alp.nec,"measure.HEDIS_MY2021_ASFE"
HEDISPMNI2020URI18to64,Default,"measure.HEDISPMNI2020URI18to64"
HEDISMY2020CISINFL,alp.cln,measure.HEDIS_MY2020_CIS
HEDISCERTMY2020SPDA,Default,"measure.HEDISCERTMY2020SPDA"
"HEDISHPNE2018AntidepressantMedManagementCont",Default,"measure.HEDISHPNE2018AntidepressantMedManagementCont"
HEDISMY2021FUM30,alp.cln.enc.age[6-17],measure.HEDIS_MY2021_FUM
HEDISHPC2020APP,Default,measure.HEDISHPC2020APP
HEDISMY2021IADINPAL,alp.nec,measure.HEDIS_MY2021_IAD
"CMS125v9BreastCancerScreen",Default,"measure.CMS125v9BreastCancerScreen"
"HEDISPM2019PsychosocialCare6to11",Default,"measure.HEDISPM2019PsychosocialCare6to11"
OHA2021Dental,alp.clm.nec,"measure.OHA_2021_PREVENTIVEDENTAL"
HEDISMY2020IADEDT,alp.clm.nec,measure.HEDIS_MY2020_IAD
UDS2015CADClinical,Default,"measure.UDS2015CADClinical"
HEDISMY2020FUA7,alp.clm.nec.age[13-17],measure.HEDIS_MY2020_FUA
"HEDISPMHP2020WCCBMI12to17",Default,"measure.HEDISPMHP2020WCCBMI12to17"
"HEDISPMHP2020ChildhoodImmC3",Default,"measure.HEDISPMHP2020ChildhoodImmC3"
HEDISMY2021FUM30,alp.clm.age[6-17],measure.HEDIS_MY2021_FUM
"HEDISPMNI2018CDCA1cControlLessThan7",Default,"measure.HEDISPMNI2018CDCA1cControlLessThan7"
HEDISMY2020AISPNEU,Default,measure.HEDIS_MY2020_AIS
HEDISMY2020URIB,alp.nec,measure.HEDIS_MY2020_URI
"HEDISHPC2019DiabetesStatinAdherence",Default,"measure.HEDISHPC2019DiabetesStatinAdherence"
"Hedis2017CDCNephropathyNoInteraction",Default,"measure.Hedis2017CDCNephropathyNoInteraction"
OHA2021WCV,alp.cln,measure.OHA_2021_WCV
CMSCORE2021OUD3,alp.clm.nec,"measure.CMS_CORE_2021_OUD"
HEDISMY2021ABXmisc,alp.nec,"measure.HEDIS_MY2021_ABXmisc"
HEDISMY2020AAB,"alp.clm.inv.nec.age[0-17]",measure.HEDIS_MY2020_AAB
HEDISMY2021FUH30,alp.nec.age[18-64],measure.HEDIS_MY2021_FUH
HEDISMY2020CISCMB2,alp.nec,measure.HEDIS_MY2020_CIS
HEDISPMMY2020AMR19to50,Default,"measure.HEDISPMMY2020AMR19to50"
"HEDISHP2020TelehealthAdjAWC",Default,"measure.HEDISHP2020TelehealthAdjAWC"
HEDISMY2020FSPCHO,alp.cln.nec,measure.HEDIS_MY2020_FSP
HEDISMY2020AAB,"alp.cln.enc.inv.age[18-64]",measure.HEDIS_MY2020_AAB
"HEDISHPCNE2018MetabolicMonAntipsychotics6to11",Default,"measure.HEDISHPCNE2018MetabolicMonAntipsychotics6to11"
HEDISMY2020AAB,alp.clm,measure.HEDIS_MY2020_AAB
HEDISMY2021DDE3,Default,measure.HEDIS_MY2021_DDE
"HEDISHPCNE2020PostpartumCare",Default,"measure.HEDISHPCNE2020PostpartumCare"
"HEDISHPC2019EdAODFollowUp7Day",Default,"measure.HEDISHPC2019EdAODFollowUp7Day"
HEDISMY2021APM3,alp.cln.enc,measure.HEDIS_MY2021_APM
"UDS2020ChildhoodImmunization",Default,"measure.UDS2020ChildhoodImmunization"
HEDISMY2020DDE3,alp,measure.HEDIS_MY2020_DDE
HEDISHPCNEMY2020PPC1,Default,"measure.HEDISHPCNEMY2020PPC1"
